Compounds.ID	Name	Tags	Formula	RT_min	Calc_MW
c4006				9.615	2530.40697
c346			C43 H31 Cl N P	17.591	627.18656
c3698				6.816	540.30235
c3266			C37 H72 N5 O10 P3 S	2.677	871.42077
c1391			C32 H63 N4 O9 P3	6.208	740.38062
c3440			C29 H63 N8 O4 P3	4.494	680.42049
c654				5.633	1380.7028
c987			C21 H53 N9 O14	0.804	655.37064
c2127			C10 H26 N8 O7	5.925	370.19267
c4306			C26 H50 N4 O10 P2	0.802	640.29829
c4370			C19 H44 N9 O5 P	5.807	509.32097
c2652			C13 H27 N8 O4 P	3.032	390.18873
c408			C27 H59 N7 O9 P2 S	0.798	719.35794
c81	Norplicacetin		C24 H33 N5 O7	4.082	503.23663
c4520			C28 H23 Cl N6 O3 S	16.902	558.12319
c2878				16.898	556.16549
c3152			C12 H23 N3 O2	0.826	241.17817
c1078				6.701	2184.06519
c900			C38 H61 N8 O6 P S	0.8	788.41568
c768			C20 H43 N6 O11 P	3.398	574.2737
c2829	Aurantimycin C		C38 H60 N8 O14	4.332	852.42307
c4592	Diprotin B		C16 H29 N3 O4	4.474	327.21515
c274			C23 H51 N10 O11 P	4.049	674.34497
c3906			C18 H43 N7 O3 S2	5.588	469.28925
c1971				4.349	426.21094
c1684			C21 H42 N2 O3	13.341	370.31867
c1296			C22 H41 N5 O5	3.207	455.30987
c294				4.891	748.36406
c3046			C20 H28 N O3 P	7.107	361.1811
c4029				4.182	1282.62905
c1775			C39 H53 N10 O8 P	4.394	820.37771
c4851				4.141	896.39078
c2843			C29 H61 N9 O13 P2	6.202	805.38558
c1286				5.645	1312.62571
c4330			C20 H33 N6 O5 P	0.889	468.22277
c1031			C16 H27 N3 O4	3.635	325.19942
c1855			C60 H56 S	5.412	808.41025
c2421	NP-022373		C23 H25 N O2	0.796	329.18053
c4595	Turgichelin		C24 H44 N8 O11	4.622	620.31558
c4408				0.798	1363.69579
c4296			C25 H61 N9 O6 P2 S	5.639	677.39273
c989	Barnesin A		C25 H37 N5 O5	0.802	487.27811
c2180			C33 H78 N9 O18 P	0.796	919.52119
c4847				7.346	1188.62107
c2156			C14 H26 N4 O4	1.187	314.19453
c260			C60 H90 N2 O16 P2	7.524	1156.57497
c306			C20 H31 N5 O5	5.353	421.23123
c2181				0.796	1678.92114
c2701			C29 H66 N9 O16 P3	0.8	889.38361
c1001			C14 H30 N7 O4 P	4.598	391.20992
c2897	Thiamine		C12 H16 N4 O S	0.931	264.10359
c1094			C69 H106 N8 O15 P2 S	5.738	1380.69796
c3733			C67 H112 N7 O17 P3 S2	0.782	1443.67663
c2584	"Methyl (2S,2aS,3a'R,4a'R,5aR,12bR,12b'R,12c'R,15aR,15a'S,17a'S)-12c'-hydroxy-10'-methoxy-2',3',4,4a',5,6,8,12c',13,13',14,14',17',17a'-tetradecahydro-4'H,5'H,16'H-spiro[furo[2',3':7,8]indolizino[8,1-c;d]carbazole-2,6'-furo[2',3':7,8]indolizino[8,1-cd]pyrido[1,2,3-lm]carbazole]-7-carboxylate"		C43 H50 N4 O6	5.327	718.36967
c2752				5.562	459.72268
c1822				9.702	2087.14794
c193			C60 H92 N8 O18	8.246	1212.653
c1154			C23 H43 N10 O6 P S	4.879	618.28328
c1039			C62 H102 N10 O18 P2	0.802	1336.68474
c3032			C39 H42 Cl N S3	17.593	655.21782
c2133			C16 H40 N10 O12	5.436	564.28293
c171				19.592	609.17629
c4338				9.905	2648.38418
c4434			C28 H57 N O2	18.111	439.4383
c375				16.897	553.16769
c572	Erucamide		C22 H43 N O	18.987	337.33408
c1268				9.967	2628.47066
c4858				0.784	1264.61966
c4160			C38 H53 N6 O6 P	3.394	720.3768
c570				18.261	701.20523
c4142			C26 H42 N8 O7 P2	4.541	640.2643
c4466				0.803	720.36056
c3222			C37 H78 N10 O17 P2	5.43	996.50157
c302			C36 H60 N4 O14 S	5.122	804.38252
c935	Virescenoside Z15		C27 H40 O10	4.21	524.26187
c2622			C19 H25 N3 O4	5.34	359.18384
c1482	Leucocin B-TA33a		C56 H77 N15 O12	3.36	1151.58938
c2425			C37 H62 N4 O15 S	4.78	834.39348
c1172				9.617	2532.35062
c4753				6.096	1304.6526
c4335			C18 H32 N4 O5 S	4.528	416.20837
c2729				9.716	2512.38477
c4133			C35 H39 N10 O P S	3.288	678.27692
c4630				0.786	1680.90761
c913			C27 H47 N4 O8 P S	4.434	618.28235
c218			C39 H63 N6 O4 P3 S	6.382	804.3833
c2300	Palmitic Acid		C16 H32 O2	12.325	273.26729
c1198			C69 H106 N8 O15 P2 S	5.708	1380.69826
c1043			C18 H38 N9 O2 P S2	3.575	507.23261
c3457			C26 H54 N3 O16 P S	4.844	727.29639
c1833			C9 H23 N8 P S3	16.897	370.09325
c4056			C55 H102 N9 O17 P S4	0.772	1319.60105
c3638			C45 H80 N10 O10 P2 S	4.588	1014.52642
c624			C18 H39 N9 O7	0.787	493.29975
c2882			C26 H57 N3 O17	6.353	683.36374
c195	N1-(2-cyclohex-1-enylethyl)-2-methylhydrazine-1-carbothioamide		C10 H19 N3 S	0.785	213.13348
c3419			C29 H54 N7 O6 P3 S	0.806	721.30829
c4224				9.624	2555.33411
c616			C29 H51 N3 O12	0.798	633.34662
c3210	Fusariumin D		C22 H45 N O2	16.231	355.34409
c4742				0.801	241.65756
c3345	Jamaicamide B		C27 H37 Cl N2 O4	4.42	488.24529
c4665			C23 H47 N2 O13 P	0.806	590.28
c3396				4.587	1014.53081
c3688			C18 H38 O9	5.66	398.25246
c2173			C26 H56 N7 O11 P	5.237	673.37568
c4366				5.898	763.36925
c1285			C80 H117 N10 O16 P	9.202	1504.83698
c325			C67 H93 N7 O14 P2	0.796	1281.62532
c2197			C62 H100 N5 O18 P S2	4.001	1297.62242
c1875				4.04	1014.53098
c4726			C30 H48 N9 O P S2	0.808	645.31437
c4574				0.839	1188.53225
c4274				5.022	393.23694
c4486			C25 H44 N3 O2 P S2	5.665	513.25908
c3421			C83 H123 N4 O17 P S2	8.197	1542.80839
c2719				4.84	814.42826
c2419			C24 H56 N5 O8 P3	5.702	635.33596
c2029			C36 H36 Cl N S2	16.897	581.1988
c176			C14 H36 N9 O5 P	0.81	441.25739
c916	1794967		C16 H31 N O3	8.953	285.23008
c3416			C50 H70 O12 S	6.107	894.45874
c366			C11 H33 N8 O2 P3	5.354	402.19145
c4818			C44 H57 N9 O3 S	5.484	791.42826
c3702			C52 H98 N10 O15 P2 S2	7.097	1228.61367
c3225				7.204	2170.07253
c3949				5.48	1528.73379
c1351			C43 H42 Cl N5 O S3	19.126	775.22398
c2901			C33 H50 N10 O11	6.096	762.36554
c3448			C20 H38 N4 O5	5.791	414.28371
c3053				5.39	1953.95587
c4354			C22 H46 N4 O16	4.994	622.28801
c3081			C21 H44 N6 O3 S	18.34	460.32185
c1626			C31 H18 N6 O13 P2 S3	0.793	839.95659
c3066			C29 H44 N8 O6 S	4.168	632.31109
c1104			C35 H64 N9 O5 P S	7.924	753.44761
c3682			C20 H33 N O8	4.958	415.21978
c2996			C11 H17 N10 O11 P3 S2	5.493	621.97359
c2875				6.184	2073.006
c4147			C59 H72 N O12 P	5.783	1017.48003
c4675				8.033	1525.79373
c2505			C44 H53 N8 O6 P	5.364	820.38213
c521				0.814	1280.61214
c2898			C27 H64 N8 O16 S	4.369	788.41604
c4495	Maniwamycin F		C11 H21 N3 O3	3.303	243.15784
c907				7.904	376.72134
c4385			C10 H24 Cl N9 O	0.785	321.17891
c157	"[D-Asp3,Dha7]MC-FR"		C50 H68 N10 O12	7.193	1000.50092
c3231			C34 H71 N5 O12 P2 S	4.776	835.42939
c4410				5.495	1867.92567
c3508				5.896	1524.73252
c4225			C16 H33 N O2	14.867	271.25057
c4429			C24 H47 N10 O3 P3 S	1.227	648.27841
c4832			C32 H28 N2 O2	4.509	472.21338
c1873			C22 H38 N4 O5	6.856	438.28391
c714	"(2R)-1-[(Hydroxy{[(1S,5R)-2,3,4,6-tetrahydroxy-5-(phosphonooxy)cyclohexyl]oxy}phosphoryl)oxy]-3-(palmitoyloxy)-2-propanyl (11Z)-11-octadecenoate"		C43 H82 O16 P2	5.745	916.50726
c2860				5.048	1963.96985
c4546			C13 H25 N5 O3 S	2.571	331.16716
c2714	N-lauroylglycine		C14 H27 N O3	6.078	257.1987
c4642			C38 H67 N2 O9 P3 S	5.585	820.37705
c4890			C7 H22 N10 P2	0.755	308.15145
c2098			C27 H66 N10 O12 P2	5.735	784.4324
c1978				6.752	2052.02307
c1730				6.458	1148.61776
c4448	L-Arginyl-L-arginyl-L-arginine		C18 H38 N12 O4	3.294	486.31504
c4894				5.915	2085.97664
c1329				6.69	2183.06217
c3174				6.396	1998.967
c3677			C79 H121 N6 O18 P S	7.441	1504.82155
c3427			C55 H97 N5 O15 P2 S	6.693	1161.6171
c3258			C15 H27 N3 O7	4.85	361.18379
c1282				16.043	462.1223
c1064			C40 H66 N6 O12 P2	5.028	884.41902
c1912			C13 H26 N7 O3 P	5.346	359.1839
c3476				6.641	1101.58624
c3276			C29 H26 O2	0.79	406.19464
c1985				9.966	2629.47332
c1593			C39 H59 N2 O9 P S	5.909	762.36662
c4169				3.985	698.39413
c3229			C30 H44 N3 O3 P S	8.04	557.28318
c3138			C27 H55 N3 O13 P2	5.417	691.31999
c4043	Streptolydigin		C32 H44 N2 O9	6.768	600.30297
c4718			C16 H41 N10 O2 P S2	0.801	500.25821
c4328	lys-his		C12 H21 N5 O3	0.7	283.16408
c524	Diprotin A		C17 H31 N3 O4	5.36	341.23074
c3132				0.807	963.48801
c1514				0.781	1013.51546
c4898			C14 H23 N9 O2	6.182	349.19881
c3956			C17 H41 N7 O6 P2	5.393	501.25781
c825			C50 H61 N7 O9	7.271	903.453
c219			C50 H78 N8 O8 P2 S	0.796	1012.51373
c4025	Bis(2-ethylhexyl) terephthalate		C24 H38 O4	9.957	390.2758
c2664			C88 H141 N10 O14 P3 S4	7.312	1782.87361
c3940			C22 H47 N7 O8	7.074	537.35019
c4616				10.065	2188.21963
c4508				0.808	1484.72219
c3824			C77 H125 N8 O16 P3 S2	7.033	1574.78731
c4454			C5 H13 N8 O5 P	16.04	296.07488
c855	"Ethyl (3-cyano-1H-1,5-benzodiazepin-4-yl)carbamate"		C13 H12 N4 O2	0.878	256.09271
c2149	Petrobactin		C34 H50 N6 O11	5.301	718.35156
c4831				4.697	1336.6892
c3135			C78 H128 N3 O17 P3	7.656	1471.84327
c4488			C77 H125 N8 O16 P3 S2	7.051	1574.78659
c4713				3.474	666.33585
c4402				2.495	270.18801
c4373			C34 H60 N2 O12 S	7.454	720.38486
c1901			C29 H57 N3 O11 S	4.987	655.3704
c732			C62 H83 N10 O7 P3	0.774	1172.56621
c4870			C50 H84 O16 P2 S	3.315	1034.49546
c1231				5.182	952.5261
c2022			C19 H34 N4 O5	4.823	398.25242
c1717			C28 H60 N7 O10 P3	5.387	747.36111
c3074			C60 H89 N2 O16 P S2	0.779	1188.53816
c3288			C41 H74 N6 O10 S2	4.112	874.48961
c4235				5.065	1529.73385
c4230			C16 H29 N O2 S	10.363	299.19171
c4022	Blastmycetin C		C17 H23 N3 O4	3.553	333.16805
c2066				6.162	737.3948
c2750			C18 H42 N9 O10 P	4.315	575.27677
c1581			C15 H38 N6 O6 P2	5.727	460.23309
c689			C65 H96 N5 O17 P S	4.277	1281.62632
c2762				6.829	870.42338
c3903			C16 H38 N9 O P S2	0.808	467.23735
c4877	(S)-Malic acid-1-O-beta-D-glucopyranoside		C10 H16 O10	15.051	296.0743
c576			C53 H89 N10 O12 P3	3.428	1150.58717
c4485				0.812	1342.55393
c1162				6.173	1997.96553
c826				9.966	2631.41738
c4131				5.545	2085.99882
c1344				7.629	1123.55567
c1470				5.405	460.23438
c1099				6.63	1800.90332
c3422				9.594	2549.31862
c755				6.167	1850.92882
c3790			C80 H96 N9 O7 P S	6.727	1357.68894
c2791				5.342	358.6757
c2157			C16 H37 N10 O4 P	0.8	464.27365
c3899			C27 H41 N3 O6 S2	7.156	567.24612
c1962			C38 H57 N3 O7 P2	5.743	729.36935
c3270			C43 H84 N O8 P3 S2	5.554	899.48387
c4542			C40 H80 N5 O15 P	5.936	901.53905
c4097	NP-002336		C23 H36 O5	0.795	430.20473
c3829				6.747	2200.06346
c3101			C20 H44 N4 O4 P2 S	0.798	498.25745
c4071			C76 H111 N10 O17 P3	5.735	1528.73446
c3654			C19 H48 N10 O7 P2	0.789	590.31606
c4608			C20 H41 N O4	16.659	359.30259
c3580			C9 H23 N8 P S3	16.043	370.09326
c4379			C65 H124 N5 O18 P3 S3	4.274	1451.73173
c3241			C64 H106 N10 O18 P2 S	0.8	1396.68868
c243				6.672	2069.00195
c4761			C30 H64 N9 O14 P	4.316	805.43094
c4500				7.322	995.4672
c1791			C35 H71 N10 O17 P	0.799	934.47427
c1337			C31 H71 N8 O13 P3	5.006	856.43424
c4641	Bis(2-ethylhexyl) terephthalate		C24 H38 O4	9.122	390.27618
c34			C14 H29 N O2	8.751	243.21977
c1608			C15 H38 N6 O6 P2	5.738	460.23307
c4628			C26 H40 N10 O3	4.964	540.32945
c1851			C89 H118 N9 O10 P3 S	5.529	1597.79295
c396			C62 H120 N3 O18 P3 S	9.247	1319.75085
c3394				7.296	1521.85768
c1066			C27 H64 N7 O16 P S	5.574	805.38596
c1489				9.537	2107.12634
c513			C32 H47 N7 O9	5.894	673.3428
c4072			C23 H35 N5 O6	0.806	477.25626
c3558			C8 H17 N7 O4	1.277	275.13492
c2174				7.055	1737.90173
c3735			C19 H46 N8 O6 P2	0.801	544.30241
c1258			C19 H47 N6 O4 P S2	0.804	518.28345
c2233			C12 H33 N8 O4 P	5.015	384.23613
c1242				6.09	752.43884
c2609			C50 H99 N5 O17 P2 S	6.213	1135.62253
c627				0.804	574.27333
c418			C36 H60 N4 O14 S	5.607	804.3823
c846				5.468	1350.71335
c666			C66 H104 N4 O17 P2	7.091	1286.68853
c4282			C50 H94 N7 O16 P3 S	0.821	1173.56882
c728				6.674	2037.0312
c845			C16 H25 N5 O4	0.782	351.18966
c3692			C19 H49 N9 O9 P2	5.424	609.31188
c1469			C18 H41 N4 O5 P S2	5.538	488.22635
c4212				0.799	1174.56441
c829	"(1S,16R)-7,11-Dihydroxy-8,8,10,16-tetramethyl-12-methylene-3-[(1E)-1-(2-methyl-1,3-thiazol-4-yl)-1-propen-2-yl]-17-oxa-4-azabicyclo[14.1.0]heptadecane-5,9-dione"		C27 H40 N2 O5 S	2.936	504.26613
c4204	Virescenoside Z8		C26 H38 O9	6.881	494.2506
c1495				7.275	451.72704
c4181				5.639	1997.96425
c2997			C32 H67 N10 O11 P	6.944	798.47389
c4481			C42 H49 N5	0.79	623.39811
c3944	Palmitelaidic acid methyl ester		C17 H32 O2	15.172	268.23914
c4243				5.357	359.18514
c931				6.171	1996.96153
c1583			C36 H66 O13 P2	5.563	768.40002
c1923			C11 H29 N8 O5 P	5.565	384.20023
c2440	Dibutyl sebacate		C18 H34 O4	16.657	314.24484
c3904			C20 H51 N9 O10 S	5.414	609.34572
c4646				7.058	1738.90671
c3631			C34 H80 N7 O11 P3 S	4.894	887.48521
c1376			C40 H78 N5 O15 P3 S	7.497	993.44314
c4431			C71 H103 N6 O9 P3 S	7.083	1308.67168
c783				0.797	872.38913
c3873				7.089	1287.69052
c2733			C24 H50 N2 O6 S2	5.016	526.30946
c4104				7.135	851.51047
c2943	"2-[(3S)-1-(Cyclohexylmethyl)-3-pyrrolidinyl]-5-(1-methyl-1H-imidazol-5-yl)-1,3,4-oxadiazole"		C17 H25 N5 O	3.253	315.20406
c4568			C65 H111 N5 O15 P2	5.27	1263.75509
c1508	"N-{[(1S,4S,6S)-6-Isopropyl-3-methyl-4-{[5-(4-pyridinyl)-1,3,4-oxadiazol-2-yl]methyl}-2-cyclohexen-1-yl]methyl}-2-pyrazinecarboxamide"		C24 H28 N6 O2	3.377	432.2339
c4636				4.092	1336.687
c4031				7.626	1695.83941
c62				5.829	377.19291
c2583			C24 H43 N7 O8	7.568	557.31995
c2945				6.892	1340.61167
c1868			C62 H126 N2 O14 P2	18.361	1184.86863
c4073			C54 H95 N10 O18 P S2	3.063	1266.6004
c2205			C70 H105 N9 O18 P2	8.333	1421.70581
c3038				4.316	406.21835
c512				6.311	1980.96718
c3043			C30 H46 N4 O13	6.883	670.30563
c970				9.962	2627.46838
c4352			C24 H51 N10 O6 P	5.358	606.37267
c2760				9.601	2088.15364
c497			C23 H36 N6 O4	5.011	460.27847
c807			C20 H28 N4 O7	0.8	436.19441
c2614	Erucamide		C22 H43 N O	16.639	337.33352
c3864			C38 H74 N5 O15 P3	8.389	933.43967
c2931	Palmitic Acid		C16 H32 O2	12.327	273.2678
c1880	WF-14865A		C17 H27 N5 O4	1.254	365.20535
c923				5.382	1952.95238
c2054			C87 H122 N6 O13 P2	7.201	1520.85425
c2676			C55 H97 N8 O11 P3	6.963	1138.64832
c710				6.182	1953.95554
c1157			C14 H36 N9 O3 P S	5.331	441.24029
c3268			C22 H44 N5 O4 P S	5.056	505.28685
c369			C15 H29 N O4 S	8.831	319.18201
c2086			C55 H108 N3 O18 P3	7.545	1191.68434
c4627			C69 H101 N6 O16 P S	8.355	1332.67295
c3909			C51 H103 N2 O18 P3 S2	7.542	1188.58594
c3732				0.808	339.18996
c2840	"12,14-Nonacosanedione"		C29 H56 O2	19.237	436.42777
c1421			C29 H43 N5 O6	7.079	557.3214
c3892			C31 H66 O11 P2	4.148	676.411
c3652			C53 H89 N8 O10 P3 S	6.438	1122.56366
c4117			C46 H98 N3 O15 P3 S3	7.619	1121.53711
c3000			C32 H52 N4 O6 S2	5.205	652.33174
c3169			C35 H79 N7 O9 S5	7.086	901.45257
c4217			C47 H103 N10 O5 P3	17.416	980.7327
c2058	VLK		C17 H34 N4 O4	3.153	340.24656
c4009			C70 H87 N5 O17 P2 S	0.776	1363.52935
c1776			C77 H111 N9 O17 P2 S	5.381	1527.73022
c2446	Leptazoline B		C16 H21 Cl N2 O7	15.048	388.10352
c856			C24 H36 N4 O6	5.12	476.26256
c421			C33 H59 N8 O5 P3	5.954	740.38466
c2683				5.548	336.67076
c4341			C19 H45 N10 O9 P S	5.373	620.28417
c3324				9.999	2611.4512
c1116			C14 H34 N9 O5 P	3.46	439.24215
c2060			C62 H120 N3 O16 P3 S3	7.568	1351.70399
c3695			C20 H44 N10 O5 S2	0.776	568.29558
c2640			C24 H49 N10 O3 P3	5.165	618.31867
c4464	Koreenceine C		C14 H27 N O	5.544	225.20876
c885	Serpulanine C		C14 H18 N2 O3	3.768	262.13115
c861				3.788	654.43047
c412			C27 H39 N5 O6	6.426	529.28977
c379				6.555	1937.9617
c32			C19 H40 N6 O10	7.584	512.27933
c4269			C61 H65 N P2 S	5.471	905.43106
c4321			C36 H67 N9 O15 P2	8.335	927.42343
c3696			C70 H104 N10 O15 P2	8.294	1386.71518
c3625			C29 H49 N3 O5 P2 S	5.477	613.28831
c3553			C29 H59 N O2	19.242	453.45435
c3117				5.397	2100.98999
c1251	Bis(methylbenzylidene)sorbitol		C22 H26 O6	12.474	386.17414
c1628			C87 H154 N9 O18 P3 S5	6.292	1865.92139
c2766				5.405	1224.60569
c3166			C68 H103 N6 O17 P3	3.584	1368.65874
c4593			C31 H62 N6 O14	3.411	742.43174
